h;PEL_subproblem_main;mHydr_direct_subproblem_main;mHydr_sell_subproblem_main;mHST_in_subproblem_main;mHST_out_subproblem_main;mHST_subproblem_main;EBESS_subproblem_main;PBESSc_subproblem_main;PBESSd_subproblem_main;Ppurch_subproblem_main;Psell_subproblem_main; PPV_subproblem_main; PWT_subproblem_main 
  1.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   6.1721;   0.0000;   0.0000;  18.7779
  2.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   8.5271;   0.0000;   0.0000;  16.4229
  3.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;  12.6041;   0.0000;   0.0000;  12.3459
  4.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;  12.0957;   0.0000;   0.0000;  12.8543
  5.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;  12.9289;   0.0000;   0.0000;  12.0211
  6.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;  14.0955;   0.0000;   0.0469;  10.8076
  7.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;  14.8766;   0.0000;   0.0957;   9.9777
  8.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;  10.1153;   0.0000;   3.2695;  11.5652
  9.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   5.6411;   0.0000;   7.1041;  12.2048
 10.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   1.1436;   0.0000;   7.8132;  15.9932
 11.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.8116;   0.0000;   9.3424;  14.7960
 12.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;   3.9714;   0.0000;   0.0000;   0.0000;   0.0000;   0.4854;  11.7949;  13.8448
 13.0000;  24.7578; 496.1478; 500.0000;   0.0000;   3.8522;   0.0000;   0.0000;   0.0000;   0.0000;   1.0296;   0.0000;  11.5234;  12.2048
 14.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   4.5093;   0.0000;  10.2465;  10.1942
 15.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   5.5173;   0.0000;  10.5373;   8.8953
 16.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;  10.1752;   0.0000;   9.9794;   4.7953
 17.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;  13.1339;   0.0000;   8.5131;   3.3029
 18.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;  15.7453;   0.0000;   5.4262;   3.7786
 19.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;  21.9816;   0.0000;   0.0000;   2.9684
 20.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;  18.7672;   0.0000;   0.0000;   6.1828
 21.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;  14.3622;   0.0000;   0.0000;  10.5878
 22.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;  13.8341;   0.0000;   0.0000;  11.1159
 23.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;  10.4886;   0.0000;   0.0000;  14.4614
 24.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   7.0085;   0.0000;   0.0000;  17.9415
 25.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   4.7256;   0.0000;   0.0000;  20.2244
 26.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   4.0270;   0.0000;   0.0000;  20.9230
 27.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   2.3378;   0.0000;   0.0000;  22.6122
 28.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.4256;   0.0000;   0.0000;  24.5244
 29.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.6650;   0.0000;   0.0000;  24.2850
 30.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.8219;   0.0000;   0.0563;  24.0718
 31.0000;  24.9596; 500.0000; 500.0000;   0.1927;   0.0000;   0.1870;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0973;  24.8623
 32.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.1870;   0.0000;   0.0000;   0.0000;   0.4118;   0.0000;   3.1494;  21.3888
 33.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;   4.1583;   0.0000;   0.0000;   0.0000;   0.0000;   0.5316;   8.0265;  17.6594
 34.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;   8.1297;   0.0000;   0.0000;   0.0000;   0.0000;   3.6078;   9.1609;  19.6012
 35.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  12.1010;   0.0000;   0.0000;   0.0000;   0.0000;   6.5119;   9.0540;  22.6122
 36.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  16.0724;   0.0000;   0.0000;   0.0000;   0.0000;   6.6637;  10.0947;  21.7234
 37.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  20.0437;   0.0000;   0.0000;   0.0000;   0.0000;   3.5150;   8.7992;  19.8701
 38.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  24.0151;   0.0000;   0.0000;   0.0000;   0.0000;   2.0270;  10.0893;  17.0920
 39.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  27.9865;   0.0000;   0.0000;   0.0000;   0.0000;   1.1864;  10.3475;  15.9932
 40.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  27.9865;   0.0000;   0.0000;   0.0000;   1.4096;   0.0000;  10.0761;  13.4644
