h;PEL_subproblem_main;mHydr_direct_subproblem_main;mHydr_sell_subproblem_main;mHST_in_subproblem_main;mHST_out_subproblem_main;mHST_subproblem_main;EBESS_subproblem_main;PBESSc_subproblem_main;PBESSd_subproblem_main;Ppurch_subproblem_main;Psell_subproblem_main; PPV_subproblem_main; PWT_subproblem_main 
  1.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;   3.9714;   0.0000;   0.0000;   0.0000;   0.0000;   1.7442;   0.0000;  26.8985
  2.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;   7.9427;   0.0000;   0.0000;   0.0000;   0.0000;   1.7479;   0.0000;  26.9022
  3.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  11.9141;   0.0000;   0.0000;   0.0000;   0.0000;   2.1873;   0.0000;  27.3416
  4.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  15.8854;   0.0000;   0.0000;   0.0000;   0.0000;   3.9377;   0.0000;  29.0920
  5.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  19.8568;   0.0000;   0.0000;   0.0000;   0.0000;   2.6489;   0.0000;  27.8032
  6.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  23.8281;   0.0000;   0.0000;   0.0000;   0.0000;   3.0461;   0.0574;  28.1430
  7.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  27.7995;   0.0000;   0.0000;   0.0000;   0.0000;   4.9682;   0.1036;  30.0189
  8.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  31.7709;   0.0000;   0.0000;   0.0000;   0.0000;   9.3606;   2.4982;  32.0167
  9.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  35.7422;   0.0000;   0.0000;   0.0000;   0.0000;   7.2565;   5.8779;  26.5329
 10.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  39.7136;   0.0000;   0.0000;   0.0000;   0.0000;   6.8752;   7.7123;  24.3172
