h;PEL_subproblem_main;mHydr_direct_subproblem_main;mHydr_sell_subproblem_main;mHST_in_subproblem_main;mHST_out_subproblem_main;mHST_subproblem_main;EBESS_subproblem_main;PBESSc_subproblem_main;PBESSd_subproblem_main;Ppurch_subproblem_main;Psell_subproblem_main; PPV_subproblem_main; PWT_subproblem_main 
  1.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   4.9654;   0.0000;   0.0000;  19.9846
  2.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   2.4084;   0.0000;   0.0000;  22.5416
  3.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   1.6073;   0.0000;   0.0000;  23.3427
  4.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.7409;   0.0000;   0.0000;  24.2091
  5.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   1.7152;   0.0000;   0.0000;  23.2348
  6.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.8745;   0.0000;   0.0069;  24.0686
  7.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;   3.9714;   0.0000;   0.0000;   0.0000;   0.0000;   0.7671;   0.0153;  25.9061
  8.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;   7.9427;   0.0000;   0.0000;   0.0000;   0.0000;   2.7462;   1.6772;  26.2233
  9.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  11.9141;   0.0000;   0.0000;   0.0000;   0.0000;   1.3227;   1.4340;  25.0429
 10.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  15.8854;   0.0000;   0.0000;   0.0000;   0.0000;   5.1010;   2.7470;  27.5083
 11.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  19.8568;   0.0000;   0.0000;   0.0000;   0.0000;   2.2465;   2.4167;  24.9841
 12.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  23.8281;   0.0000;   0.0000;   0.0000;   0.0000;   0.3964;   2.6985;  22.8522
 13.0000;  25.0994; 500.0000; 500.0000;   2.9939;   0.0000;  26.7322;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   3.7774;  21.3220
 14.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  26.7322;   0.0000;   0.0000;   0.0000;   4.0439;   0.0000;   2.6936;  18.2124
 15.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  26.7322;   0.0000;   0.0000;   0.0000;   5.3396;   0.0000;   4.3342;  15.2762
 16.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  26.7322;   0.0000;   0.0000;   0.0000;   1.8333;   0.0000;   7.8405;  15.2762
 17.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  26.7322;   0.0000;   0.0000;   0.0000;   2.7702;   0.0000;   4.5755;  17.6043
 18.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  30.7036;   0.0000;   0.0000;   0.0000;   0.0000;   0.2579;   6.0521;  19.3601
 19.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  30.7036;   0.0000;   0.0000;   0.0000;   7.9114;   0.0000;   0.0000;  17.0386
 20.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  30.7036;   0.0000;   0.0000;   0.0000;  10.0563;   0.0000;   0.0000;  14.8937
 21.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  30.7036;   0.0000;   0.0000;   0.0000;   5.3218;   0.0000;   0.0000;  19.6282
 22.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  30.7036;   0.0000;   0.0000;   0.0000;   2.2515;   0.0000;   0.0000;  22.6985
 23.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  34.6749;   0.0000;   0.0000;   0.0000;   0.0000;   0.4837;   0.0000;  25.6380
 24.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  38.6463;   0.0000;   0.0000;   0.0000;   0.0000;   1.3175;   0.0000;  26.4718
 25.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  42.6177;   0.0000;   0.0000;   0.0000;   0.0000;   2.4456;   0.0000;  27.5999
 26.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  46.5890;   0.0000;   0.0000;   0.0000;   0.0000;   3.6129;   0.0000;  28.7672
 27.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  50.5604;   0.0000;   0.0000;   0.0000;   0.0000;   2.1382;   0.0000;  27.2925
 28.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  54.5317;   0.0000;   0.0000;   0.0000;   0.0000;   1.1802;   0.0000;  26.3345
