h;PEL_subproblem_main;mHydr_direct_subproblem_main;mHydr_sell_subproblem_main;mHST_in_subproblem_main;mHST_out_subproblem_main;mHST_subproblem_main;EBESS_subproblem_main;PBESSc_subproblem_main;PBESSd_subproblem_main;Ppurch_subproblem_main;Psell_subproblem_main; PPV_subproblem_main; PWT_subproblem_main 
4556.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 121.9086;   0.0000;   0.0000;   0.0000;   0.0000;   1.9490;   0.0000;  27.1033
4557.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 125.8799;   0.0000;   0.0000;   0.0000;   0.0000;   3.6309;   0.0000;  28.7852
4558.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 129.8513;   0.0000;   0.0000;   0.0000;   0.0000;   4.5227;   0.0000;  29.6770
4559.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 133.8226;   0.0000;   0.0000;   0.0000;   0.0000;   4.8018;   0.0000;  29.9561
4560.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 137.7940;   0.0000;   0.0000;   0.0000;   0.0000;   4.7474;   0.0000;  29.9017
4561.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 141.7654;   0.0000;   0.0000;   0.0000;   0.0000;   4.3124;   0.0000;  29.4667
4562.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 145.7367;   0.0000;   0.0000;   0.0000;   0.0000;   3.5331;   0.0000;  28.6874
4563.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 149.7081;   0.0000;   0.0000;   0.0000;   0.0000;   3.0981;   0.0000;  28.2524
4564.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 153.6794;   0.0000;   0.0000;   0.0000;   0.0000;   1.5285;   0.0000;  26.6828
4565.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 157.6508;   0.0000;   0.0000;   0.0000;   0.0000;   1.0101;   0.0000;  26.1644
4566.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 161.6221;   0.0000;   0.0000;   0.0000;   0.0000;   2.9277;   0.0000;  28.0820
4567.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 165.5935;   0.0000;   0.0000;   0.0000;   0.0000;   4.5351;   1.4334;  28.2560
4568.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 169.5648;   0.0000;   0.0000;   0.0000;   0.0000;   9.6430;   6.5413;  28.2560
4569.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 173.5362;   0.0000;   0.0000;   0.0000;   0.0000;  16.7149;  10.8003;  31.0689
4570.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 177.5076;   0.0000;   0.0000;   0.0000;   0.0000;  12.1191;   7.6544;  29.6190
4571.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 181.4789;   0.0000;   0.0000;   0.0000;   0.0000;  10.0095;   7.8358;  27.3280
4572.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 185.4503;   0.0000;   0.0000;   0.0000;   0.0000;   6.7031;   7.5743;  24.2831
4573.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000; 189.4216;   0.0000;   0.0000;   0.0000;   0.0000;   2.2040;   6.3484;  21.0099
