h;PEL_subproblem_main;mHydr_direct_subproblem_main;mHydr_sell_subproblem_main;mHST_in_subproblem_main;mHST_out_subproblem_main;mHST_subproblem_main;EBESS_subproblem_main;PBESSc_subproblem_main;PBESSd_subproblem_main;Ppurch_subproblem_main;Psell_subproblem_main; PPV_subproblem_main; PWT_subproblem_main 
  1.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;   3.9714;   0.0000;   0.0000;   0.0000;   0.0000;   6.3068;   0.0000;  31.4611
  2.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   3.9714;   0.0000;   0.0000;   0.0000;   0.0000;   6.7189;   0.0000;  31.6689
  3.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;   7.9427;   0.0000;   0.0000;   0.0000;   0.0000;   6.6704;   0.0000;  31.8247
  4.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;   7.9427;   0.0000;   0.0000;   0.0000;   0.0000;   6.6427;   0.0000;  31.5927
  5.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  11.9141;   0.0000;   0.0000;   0.0000;   0.0000;   6.3656;   0.0000;  31.5199
  6.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  15.8854;   0.0000;   0.0000;   0.0000;   0.0000;   6.8450;   0.0256;  31.9736
  7.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  19.8568;   0.0000;   0.0000;   0.0000;   0.0000;   7.2031;   0.0582;  32.2992
  8.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  23.8281;   0.0000;   0.0000;   0.0000;   0.0000;   8.9749;   1.8785;  32.2507
  9.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  27.7995;   0.0000;   0.0000;   0.0000;   0.0000;  12.2519;   5.7685;  31.6377
 10.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  27.7995;   0.0000;   0.0000;   0.0000;   0.0000;  13.2822;   7.7028;  30.5294
 11.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  31.7709;   0.0000;   0.0000;   0.0000;   0.0000;  14.5413;   8.8890;  30.8065
 12.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  35.7422;   0.0000;   0.0000;   0.0000;   0.0000;  13.4506;   9.2010;  29.4038
 13.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  35.7422;   0.0000;   0.0000;   0.0000;   0.0000;  11.8528;   9.8095;  26.9933
 14.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  39.7136;   0.0000;   0.0000;   0.0000;   0.0000;  10.3670;  10.5609;  24.9604
 15.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  43.6849;   0.0000;   0.0000;   0.0000;   0.0000;   7.0960;   9.0493;  23.2010
 16.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  43.6849;   0.0000;   0.0000;   0.0000;   0.0000;   8.0938;   9.6731;  23.3707
 17.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  47.6563;   0.0000;   0.0000;   0.0000;   0.0000;   6.5444;   6.4682;  25.2305
 18.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  51.6276;   0.0000;   0.0000;   0.0000;   0.0000;   7.9746;   5.1485;  27.9804
 19.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  51.6276;   0.0000;   0.0000;   0.0000;   0.0000;   2.0433;   0.0000;  26.9933
 20.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  55.5990;   0.0000;   0.0000;   0.0000;   0.0000;   0.7065;   0.0000;  25.8608
 21.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  55.5990;   0.0000;   0.0000;   0.0000;   0.0000;   3.4010;   0.0000;  28.3510
 22.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  55.5990;   0.0000;   0.0000;   0.0000;   0.0000;   6.7881;   0.0000;  31.7381
 23.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  59.5703;   0.0000;   0.0000;   0.0000;   0.0000;   8.6307;   0.0000;  33.7850
 24.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  63.5417;   0.0000;   0.0000;   0.0000;   0.0000;   8.6861;   0.0000;  33.8404
 25.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  63.5417;   0.0000;   0.0000;   0.0000;   0.0000;   8.6029;   0.0000;  33.5529
 26.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  67.5131;   0.0000;   0.0000;   0.0000;   0.0000;   8.0107;   0.0000;  33.1650
 27.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  71.4844;   0.0000;   0.0000;   0.0000;   0.0000;   8.2601;   0.0000;  33.4144
 28.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  71.4844;   0.0000;   0.0000;   0.0000;   0.0000;   8.8973;   0.0000;  33.8473
 29.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  75.4558;   0.0000;   0.0000;   0.0000;   0.0000;   8.0904;   0.0000;  33.2447
 30.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  75.4558;   0.0000;   0.0000;   0.0000;   0.0000;   8.2064;   0.0433;  33.1131
 31.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  75.4558;   0.0000;   0.0000;   0.0000;   0.0000;   7.7724;   0.0734;  32.6490
 32.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  79.4271;   0.0000;   0.0000;   0.0000;   0.0000;  10.5822;   2.4018;  33.3347
 33.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  83.3985;   0.0000;   0.0000;   0.0000;   0.0000;  15.5162;   7.6510;  33.0196
 34.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  83.3985;   0.0000;   0.0000;   0.0000;   0.0000;  15.5461;   7.8505;  32.6456
 35.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  87.3698;   0.0000;   0.0000;   0.0000;   0.0000;  17.1671;  10.4309;  31.8905
 36.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  91.3412;   0.0000;   0.0000;   0.0000;   0.0000;  14.6375;   9.6572;  30.1346
 37.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  91.3412;   0.0000;   0.0000;   0.0000;   0.0000;  10.6264;  10.2697;  25.3067
 38.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  95.3126;   0.0000;   0.0000;   0.0000;   0.0000;   5.9817;  11.2079;  19.9281
 39.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  95.3126;   0.0000;   0.0000;   0.0000;   0.0000;   0.9785;  10.2049;  15.7236
 40.0000;  24.6130; 493.2456; 500.0000;   0.0000;   6.7544;  88.3492;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   8.7370;  15.8760
 41.0000;  23.4123; 469.1850; 500.0000;   0.0000;  30.8150;  56.5812;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   7.5363;  15.8760
 42.0000;  24.2268; 485.5063; 500.0000;   0.0000;  14.4937;  41.6393;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   6.2797;  17.9471
 43.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  41.6393;   0.0000;   0.0000;   0.0000;   0.0000;   1.5100;   0.0000;  26.4600
 44.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  45.6106;   0.0000;   0.0000;   0.0000;   0.0000;   3.9378;   0.0000;  29.0921
 45.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  49.5820;   0.0000;   0.0000;   0.0000;   0.0000;   5.8635;   0.0000;  31.0178
 46.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  49.5820;   0.0000;   0.0000;   0.0000;   0.0000;   6.8747;   0.0000;  31.8247
 47.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  53.5533;   0.0000;   0.0000;   0.0000;   0.0000;   8.3086;   0.0000;  33.4629
 48.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  57.5247;   0.0000;   0.0000;   0.0000;   0.0000;   8.7034;   0.0000;  33.8577
 49.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  57.5247;   0.0000;   0.0000;   0.0000;   0.0000;   8.7726;   0.0000;  33.7226
 50.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  61.4961;   0.0000;   0.0000;   0.0000;   0.0000;   8.6861;   0.0000;  33.8404
 51.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  61.4961;   0.0000;   0.0000;   0.0000;   0.0000;   8.5683;   0.0000;  33.5183
 52.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  65.4674;   0.0000;   0.0000;   0.0000;   0.0000;   8.4956;   0.0000;  33.6499
 53.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  65.4674;   0.0000;   0.0000;   0.0000;   0.0000;   7.8202;   0.0000;  32.7702
 54.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  65.4674;   0.0000;   0.0000;   0.0000;   0.0000;   6.9473;   0.0172;  31.8801
 55.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  65.4674;   0.0000;   0.0000;   0.0000;   0.0000;   6.2892;   0.0691;  31.1701
 56.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  69.4388;   0.0000;   0.0000;   0.0000;   0.0000;   7.8746;   2.7730;  30.2558
 57.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  69.4388;   0.0000;   0.0000;   0.0000;   0.0000;  11.3791;   6.8560;  29.4731
 58.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  73.4101;   0.0000;   0.0000;   0.0000;   0.0000;  13.2940;   9.1899;  29.2584
 59.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  73.4101;   0.0000;   0.0000;   0.0000;   0.0000;  14.7253;  10.5139;  29.1614
 60.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  77.3815;   0.0000;   0.0000;   0.0000;   0.0000;  13.9581;  11.5199;  27.5925
 61.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  77.3815;   0.0000;   0.0000;   0.0000;   0.0000;  11.8669;  11.7423;  25.0746
