h;PEL_subproblem_main;mHydr_direct_subproblem_main;mHydr_sell_subproblem_main;mHST_in_subproblem_main;mHST_out_subproblem_main;mHST_subproblem_main;EBESS_subproblem_main;PBESSc_subproblem_main;PBESSd_subproblem_main;Ppurch_subproblem_main;Psell_subproblem_main;PPV_subproblem_main;PWT_subproblem_main ;Balance P ;Balance H2
483;1122.0821;20000;20000;37.1807;0;468.8488;0;0;0;0;362.683;0;1484.7651;0;0
484;1122.0821;20000;20000;37.1807;0;504.9141;0;0;0;0;345.3255;0;1467.4076;0;0
485;1122.0821;20000;20000;37.1807;0;540.9794;0;0;0;0;288.9549;0;1411.037;0;0
486;1122.0821;20000;20000;37.1807;0;577.0447;0;0;0;0;266.5735;0.0694;1388.5862;0;0
487;1122.0821;20000;20000;37.1807;0;613.11;0;0;0;0;255.9871;2.1155;1375.9537;0;0
488;1122.0821;20000;20000;37.1807;0;649.1753;0;0;0;0;324.4272;69.8766;1376.6328;1.00E-04;0
489;1122.0821;20000;20000;37.1807;0;685.2406;0;0;0;0;364.1483;172.4657;1313.7647;0;0
490;1122.0821;20000;20000;37.1807;0;721.3059;0;0;0;0;368.8216;194.8811;1296.0226;0;0
491;1122.0821;20000;20000;37.1807;0;757.3712;0;0;0;0;385.4982;245.3764;1262.204;1.00E-04;0
492;1122.0821;20000;20000;37.1807;0;793.4365;0;0;0;0;260.378;276.9573;1105.5027;-1.00E-04;0
493;1122.0821;20000;20000;37.1807;0;829.5018;0;0;0;0;61.5468;276.7912;906.8377;0;0
494;1120;20000;20000;0;0;829.5018;0;0;0;84.1267;0;283.1714;752.7019;0;0
495;1120;20000;20000;0;0;829.5018;0;0;0;186.827;0;269.7118;663.4613;1.00E-04;0
496;1120;20000;20000;0;0;829.5018;0;0;0;173.9564;0;240.8229;705.2207;0;0
497;1120;20000;20000;0;0;829.5018;0;0;0;149.0488;0;191.5186;779.4326;0;0
498;1120;20000;20000;0;0;829.5018;0;0;0;75.6296;0;171.9928;872.3776;0;0
499;1120;20000;20000;0;0;829.5018;0;0;0;232.8513;0;0;887.1487;0;0
